Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Ahmed;Cilemode;;;;;;;;;;
Jane;Daralate;;;;;;;;;;
Theres;Hiwafareweiner;;;;;;;;;;
Gottfried;Huber;;;;;;;;;;
Rupert;Jululauweiner;;;;;;;;;;
Manja;Kaiser;;;;;;;;;;
Hans-Jürgen;König;;;;;;;;;;
Arno;Lange;;;;;;;;;;
Eleni;Levoplauweiner;;;;;;;;;;
Dina;Maier;;;;;;;;;;
Klaus;Mutogrademeiner;;;;;;;;;;
Hans-Otto;Nitefarestein;;;;;;;;;;
Tania;Petuplau;;;;;;;;;;
Zeljko;Richter;;;;;;;;;;
Alan;Sätobuweiner;;;;;;;;;;
Mia;Süvafohein;;;;;;;;;;
Manuela;Tasubemeiner;;;;;;;;;;
Ellen;Tesalodeweiner;;;;;;;;;;
Hellmut;Tisisedehein;;;;;;;;;;
Philip;Tädobodoson;;;;;;;;;;
Irmhild;Tötisedehein;;;;;;;;;;
Grzegorz;Viwugau;;;;;;;;;;
David;Wagner;;;;;;;;;;
Manja;Wagner;;;;;;;;;;
Evelyne;Walter;;;;;;;;;;
Valentine;Weber;;;;;;;;;;
Wilfried;Werner;;;;;;;;;;
Gülten;Zovivade;;;;;;;;;;
