Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Laura;Becker;;;;;;;;;;
Kevin;Büvamatt;;;;;;;;;;
Leonid;Fuvoplaumeiner;;;;;;;;;;
Änne;Hetawedeson;;;;;;;;;;
Gabriele;Hoffmann;;;;;;;;;;
Agata;Hätamatthein;;;;;;;;;;
Georgine;Jivovode;;;;;;;;;;
Tilo;Jotavodehein;;;;;;;;;;
Philippe;Juvodu;;;;;;;;;;
Stefani;Ketabastein;;;;;;;;;;
Claire;Mayer;;;;;;;;;;
Kirsten;Mayer;;;;;;;;;;
Hans-Hinrich;Muwusedemeiner;;;;;;;;;;
Siegmund;Porefi;;;;;;;;;;
Anna;Püwovoremeiner;;;;;;;;;;
Herta;Risafledestein;;;;;;;;;;
Leopoldine;Schmid;;;;;;;;;;
Steve;Serelodemeiner;;;;;;;;;;
Konstantinos;Sesosedeson;;;;;;;;;;
Friedemann;Visivodeweiner;;;;;;;;;;
Milena;Votehedeweiner;;;;;;;;;;
Maria-Theresia;Wagner;;;;;;;;;;
Burkhardt;Wavufomüller;;;;;;;;;;
Kerstin;Zötefo;;;;;;;;;;
