Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Dierk;Betuvademüller;;;;;;;;;;
Abdul;Bovovodehein;;;;;;;;;;
Kati;Burasedeson;;;;;;;;;;
Jens-Uwe;Bötumattson;;;;;;;;;;
Walentina;Cövuflodestein;;;;;;;;;;
Walther;Dadifi;;;;;;;;;;
Natalia;Fudamau;;;;;;;;;;
Kirstin;Kaiser;;;;;;;;;;
Svenja;Klein;;;;;;;;;;
Claire;Kätodumeiner;;;;;;;;;;
Bertram;Lotisadestein;;;;;;;;;;
Marian;Malusedestein;;;;;;;;;;
Bettina;Melebi;;;;;;;;;;
Konstantinos;Mutavodeson;;;;;;;;;;
Paolo;Müller;;;;;;;;;;
Mara;Nodifuweiner;;;;;;;;;;
Adolfine;Pisumau;;;;;;;;;;
Isa;Pitasademeiner;;;;;;;;;;
Friedemann;Potulodehein;;;;;;;;;;
Anett;Putefomeiner;;;;;;;;;;
Yilmaz;Sadefimüller;;;;;;;;;;
Valerie;Saluhede;;;;;;;;;;
Marco;Schmidt;;;;;;;;;;
Cengiz;Schulze;;;;;;;;;;
Traudl;Schwarz;;;;;;;;;;
Waldtraut;Tulodi;;;;;;;;;;
Achim;Zavowedeweiner;;;;;;;;;;
Augusta;Zösumaumeiner;;;;;;;;;;
