Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Mathias;Borifledestein;;;;;;;;;;
Ehrenfried;Cosefareweiner;;;;;;;;;;
Sergei;Didegau;;;;;;;;;;
William;Fitugede;;;;;;;;;;
Daniele;Fätevade;;;;;;;;;;
Gerhard;Girigrodeweiner;;;;;;;;;;
Jessica;Huber;;;;;;;;;;
Recep;Javawatte;;;;;;;;;;
Helmtrud;Jilusadeweiner;;;;;;;;;;
Dittmar;Jürisade;;;;;;;;;;
Imre;Lavobi;;;;;;;;;;
Günther;Lütabe;;;;;;;;;;
Mohamed;Nutovarestein;;;;;;;;;;
Uta;Pulobodostein;;;;;;;;;;
Vesna;Rirefiweiner;;;;;;;;;;
Michail;Riteduhein;;;;;;;;;;
Karina;Ruwalodeweiner;;;;;;;;;;
Hanspeter;Räwesedehein;;;;;;;;;;
Anika;Rüremattson;;;;;;;;;;
Pierre;Saregrade;;;;;;;;;;
Adina;Schmitz;;;;;;;;;;
Ernst;Schröder;;;;;;;;;;
Tülay;Schröder;;;;;;;;;;
Mirko;Schulz;;;;;;;;;;
Anselm;Tisibedehein;;;;;;;;;;
Arnim;Tutifo;;;;;;;;;;
Aurelia;Vususegemeiner;;;;;;;;;;
Christine;Wutalatestein;;;;;;;;;;
