Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Irmhild;Bitufoson;;;;;;;;;;
Amanda;Cätusedeson;;;;;;;;;;
Annika;Cövemattmüller;;;;;;;;;;
Vassilios;Cüwebehein;;;;;;;;;;
Marika;Döloduson;;;;;;;;;;
Gülay;Jävuschattson;;;;;;;;;;
Melissa;Latogrode;;;;;;;;;;
Aleksandr;Müller;;;;;;;;;;
Kristin;Narasedeweiner;;;;;;;;;;
Meinrad;Nelogedemüller;;;;;;;;;;
Stanislav;Pudafareweiner;;;;;;;;;;
Ann-Kathrin;Resebu;;;;;;;;;;
Hedy;Revamodemüller;;;;;;;;;;
Ralf-Peter;Schmid;;;;;;;;;;
Denise;Schäfer;;;;;;;;;;
Mirja;Sosohedeson;;;;;;;;;;
Karoline;Tawodumüller;;;;;;;;;;
Käthi;Wolobu;;;;;;;;;;
Daniele;Wulovareweiner;;;;;;;;;;
Regine;Zitiplauhein;;;;;;;;;;
