Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Priska;Fedahede;;;;;;;;;;
Ute;Fetogau;;;;;;;;;;
Tillmann;Fidedohein;;;;;;;;;;
Deborah;Fowoplauweiner;;;;;;;;;;
Elenore;Gasavodemeiner;;;;;;;;;;
Reinhild;Jirosede;;;;;;;;;;
Natalja;Kirehede;;;;;;;;;;
Valerij;Kirugauweiner;;;;;;;;;;
Magnus;Klein;;;;;;;;;;
Rosa;Koch;;;;;;;;;;
Birgid;König;;;;;;;;;;
Almuth;Mayer;;;;;;;;;;
Hanns;Metedastein;;;;;;;;;;
Emilia;Milomodemüller;;;;;;;;;;
Jorge;Nilubedehein;;;;;;;;;;
Isabella;Nowudu;;;;;;;;;;
Svenja;Näwubu;;;;;;;;;;
Burkard;Pälugrade;;;;;;;;;;
Christian;Pödivorehein;;;;;;;;;;
Andreas;Richter;;;;;;;;;;
Matteo;Ruwifledeson;;;;;;;;;;
Reimund;Rätolau;;;;;;;;;;
Franca;Schröder;;;;;;;;;;
Henrik;Sutasadeweiner;;;;;;;;;;
Wally;Suwebodomeiner;;;;;;;;;;
Stephen;Tisofihein;;;;;;;;;;
Else;Tutugatemüller;;;;;;;;;;
Klaus-Dieter;Täsiwadeweiner;;;;;;;;;;
Karsten;Wädadimüller;;;;;;;;;;
Robin;Ziwuvorehein;;;;;;;;;;
