Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Philippe;Belifo;;;;;;;;;;
Henri;Bodalauweiner;;;;;;;;;;
Gisela;Bovifere;;;;;;;;;;
Imke;Dotisegeweiner;;;;;;;;;;
Recep;Fölufimeiner;;;;;;;;;;
Hanne;Fütuschattmüller;;;;;;;;;;
Margarita;Gurelate;;;;;;;;;;
Miroslaw;Güruflede;;;;;;;;;;
Ismet;Halasadeweiner;;;;;;;;;;
Anica;Juwedihein;;;;;;;;;;
Alberto;Kerowattemüller;;;;;;;;;;
Alban;Klein;;;;;;;;;;
Melanie;Köhler;;;;;;;;;;
Zdravko;Köhler;;;;;;;;;;
Maurizio;Lawesege;;;;;;;;;;
Erol;Lulomattstein;;;;;;;;;;
Dorothea;Mayer;;;;;;;;;;
Oliver;Polalatemüller;;;;;;;;;;
Hilmar;Sadudo;;;;;;;;;;
Hans-Georg;Sewobede;;;;;;;;;;
Grzegorz;Sutevarehein;;;;;;;;;;
Ingolf;Talebuweiner;;;;;;;;;;
Andrey;Totugradehein;;;;;;;;;;
Piotr;Vedebihein;;;;;;;;;;
Gerhardt;Videfimeiner;;;;;;;;;;
Wilfriede;Vorowatte;;;;;;;;;;
Kati;Väremattmeiner;;;;;;;;;;
Metin;Wedevaremeiner;;;;;;;;;;
Immo;Wiwuplau;;;;;;;;;;
