Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Wilhelmine;Basuhedemeiner;;;;;;;;;;
Katarzyna;Biduba;;;;;;;;;;
Paulina;Citamaumüller;;;;;;;;;;
Gesine;Curewatte;;;;;;;;;;
Gerlind;Dodobedehein;;;;;;;;;;
Nadine;Dulada;;;;;;;;;;
Constance;Duruvademüller;;;;;;;;;;
Brunhilde;Fowivorestein;;;;;;;;;;
Traudl;Herrmann;;;;;;;;;;
Ehrenfried;Hoffmann;;;;;;;;;;
Emanuel;Horisedeson;;;;;;;;;;
Hanns;Järobason;;;;;;;;;;
Steve;Jäsebumeiner;;;;;;;;;;
Lukas;Kedibestein;;;;;;;;;;
Nadin;Krüger;;;;;;;;;;
Angelo;Kätabede;;;;;;;;;;
Diana;Lasadimeiner;;;;;;;;;;
Paul-Gerhard;Matibodo;;;;;;;;;;
Jozef;Musuflode;;;;;;;;;;
Cord;Nadugau;;;;;;;;;;
Till;Perimodeson;;;;;;;;;;
Cemil;Satevaremeiner;;;;;;;;;;
Margarita;Tatodistein;;;;;;;;;;
Marika;Tosowatteweiner;;;;;;;;;;
Ahmet;Vüvafoweiner;;;;;;;;;;
Kristiane;Welalau;;;;;;;;;;
Lioba;Zirumaumeiner;;;;;;;;;;
