Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Rosalia;Braun;;;;;;;;;;
Telse;Corobodostein;;;;;;;;;;
Wanda;Dotibeweiner;;;;;;;;;;
Gunar;Fuchs;;;;;;;;;;
Linda;Futemau;;;;;;;;;;
Margaret;Füdafo;;;;;;;;;;
Piotr;Gutogradeson;;;;;;;;;;
Ruthild;Herrmann;;;;;;;;;;
Barbara;Hilifereson;;;;;;;;;;
Marieluise;Jewemattweiner;;;;;;;;;;
Polina;Ködefihein;;;;;;;;;;
Ingrid;Ledoflode;;;;;;;;;;
Marlies;Letumodemüller;;;;;;;;;;
Felizitas;Lovibastein;;;;;;;;;;
Hans-Uwe;Madalode;;;;;;;;;;
Maya;Mesibuson;;;;;;;;;;
Margot;Niwasedehein;;;;;;;;;;
Theodoros;Pitevoremeiner;;;;;;;;;;
Roland;Rötodo;;;;;;;;;;
Severin;Schmidt;;;;;;;;;;
Amalie;Schulze;;;;;;;;;;
Reinhild;Valifaremüller;;;;;;;;;;
Birgid;Vavobedeweiner;;;;;;;;;;
Czeslaw;Volevodemeiner;;;;;;;;;;
Gisa;Warehedestein;;;;;;;;;;
Gerdi;Widubi;;;;;;;;;;
Sibille;Zawafuson;;;;;;;;;;
Priska;Zivasedehein;;;;;;;;;;
