Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Mechtild;Baroflede;;;;;;;;;;
Conny;Braun;;;;;;;;;;
Diedrich;Cewisegemüller;;;;;;;;;;
Ferdinand;Corumaumüller;;;;;;;;;;
Bernard;Dutobedestein;;;;;;;;;;
Necati;Fivumaumüller;;;;;;;;;;
Siegmund;Helefoweiner;;;;;;;;;;
Jolanta;Hofmann;;;;;;;;;;
August;Huber;;;;;;;;;;
Mirco;Huber;;;;;;;;;;
Julie;Hürulate;;;;;;;;;;
Fatma;Klein;;;;;;;;;;
Hellmut;Kowedostein;;;;;;;;;;
Laurenz;Krüger;;;;;;;;;;
Antonia;Loregradeson;;;;;;;;;;
Albertine;Medebimeiner;;;;;;;;;;
Hanns;Molobihein;;;;;;;;;;
Lydia;Movoplauhein;;;;;;;;;;
Ignatz;Müller;;;;;;;;;;
Marlis;Nerasademüller;;;;;;;;;;
Nadin;Neumann;;;;;;;;;;
Urszula;Pidugateweiner;;;;;;;;;;
Elsa;Retelateweiner;;;;;;;;;;
Eduard;Schmitz;;;;;;;;;;
Simona;Schwarz;;;;;;;;;;
Editha;Säsovadeson;;;;;;;;;;
Hilma;Tedagauhein;;;;;;;;;;
Gotthilf;Vavischattmüller;;;;;;;;;;
Gordana;Wagner;;;;;;;;;;
Maximilian;Wurafaremüller;;;;;;;;;;
