Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Friedrich-Wilhelm;Biteflode;;;;;;;;;;
Eleonora;Cilifare;;;;;;;;;;
Hüseyin;Cusibodohein;;;;;;;;;;
Niklas;Cösumatt;;;;;;;;;;
Gunhild;Göwabimeiner;;;;;;;;;;
Nadin;Hofmann;;;;;;;;;;
Osman;Kaiser;;;;;;;;;;
Tanja;Kaiser;;;;;;;;;;
Karl-Friedrich;Krüger;;;;;;;;;;
Ute;Kulufi;;;;;;;;;;
Luisa;Lewovademüller;;;;;;;;;;
Remo;Lötesedeson;;;;;;;;;;
Johanna;Metufomüller;;;;;;;;;;
Swantje;Navaschattson;;;;;;;;;;
Jaroslav;Närobedestein;;;;;;;;;;
Jonathan;Pategedehein;;;;;;;;;;
Jozef;Polovareson;;;;;;;;;;
Raisa;Retasege;;;;;;;;;;
Canan;Schmitz;;;;;;;;;;
Heinz;Schulz;;;;;;;;;;
Nadin;Schulze;;;;;;;;;;
Gabi;Schwarz;;;;;;;;;;
Reingard;Vewabedestein;;;;;;;;;;
Fabienne;Vüwovareweiner;;;;;;;;;;
Robert;Wereplaumeiner;;;;;;;;;;
Jonas;Werner;;;;;;;;;;
Betina;Wevebedehein;;;;;;;;;;
Rotraut;Wiwusadeweiner;;;;;;;;;;
Gerwin;Zawesadeweiner;;;;;;;;;;
Wencke;Zewischatt;;;;;;;;;;
