Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Thea;Bauer;;;;;;;;;;
Leila;Braun;;;;;;;;;;
Peggy;Dedafohein;;;;;;;;;;
Valeska;Derulateson;;;;;;;;;;
Gundolf;Detugrademüller;;;;;;;;;;
Milica;Dusahede;;;;;;;;;;
Osman;Fuchs;;;;;;;;;;
Eckehard;Förumode;;;;;;;;;;
Theobald;Füwigatestein;;;;;;;;;;
Hans-Friedrich;Guledohein;;;;;;;;;;
Hermann;Hoffmann;;;;;;;;;;
Matthias;Hofmann;;;;;;;;;;
Clara;Kasolodeson;;;;;;;;;;
Jost;Kidudo;;;;;;;;;;
Dragica;Krause;;;;;;;;;;
Meinolf;Liramatt;;;;;;;;;;
Hermine;Newasege;;;;;;;;;;
Karolina;Piwifaremüller;;;;;;;;;;
Bastian;Rosudistein;;;;;;;;;;
Hugo;Schröder;;;;;;;;;;
Egbert;Setiwedestein;;;;;;;;;;
Monika;Vewaba;;;;;;;;;;
Mirja;Vulebamüller;;;;;;;;;;
Jost;Widabeson;;;;;;;;;;
Freya;Wösubamüller;;;;;;;;;;
Eileen;Zadahedestein;;;;;;;;;;
Hans-Hermann;Zelegradestein;;;;;;;;;;
