Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Branko;Botiwedemeiner;;;;;;;;;;
Violetta;Cetivodehein;;;;;;;;;;
Karla;Cosilaustein;;;;;;;;;;
Hanife;Gesadomeiner;;;;;;;;;;
Klaas;Gowodistein;;;;;;;;;;
Thea;Halulate;;;;;;;;;;
Tülay;Hatigate;;;;;;;;;;
Sylvio;Jüvusegeweiner;;;;;;;;;;
Albina;Kaludastein;;;;;;;;;;
Hans-Jochen;Karumodemeiner;;;;;;;;;;
Filiz;Kovugateweiner;;;;;;;;;;
Agnieszka;Kuwiwedemüller;;;;;;;;;;
Nora;König;;;;;;;;;;
Sabri;Külavade;;;;;;;;;;
Hans-Wolfgang;Lirisegehein;;;;;;;;;;
German;Liwifoson;;;;;;;;;;
Tomasz;Nitefu;;;;;;;;;;
Burkhard;Näsogrodeweiner;;;;;;;;;;
Irina;Pudasegemüller;;;;;;;;;;
Sahin;Pusuwatte;;;;;;;;;;
Friedrich-Karl;Retivode;;;;;;;;;;
Charlotte;Sadeplauweiner;;;;;;;;;;
Hellmuth;Schwarz;;;;;;;;;;
Claus;Vivuplauhein;;;;;;;;;;
Tilly;Walter;;;;;;;;;;
Sina;Wälewedeweiner;;;;;;;;;;
Janina;Zavoplauweiner;;;;;;;;;;
