Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Elias;Bilebeweiner;;;;;;;;;;
Radmila;Boteferemeiner;;;;;;;;;;
Hans-Gerd;Braun;;;;;;;;;;
Gerald;Fasasegemüller;;;;;;;;;;
Fritz;Fituflodeweiner;;;;;;;;;;
Ulrike;Godebemüller;;;;;;;;;;
Carla;Hödihede;;;;;;;;;;
Gabriele;Jetesede;;;;;;;;;;
Patric;Lange;;;;;;;;;;
Franz-Peter;Meier;;;;;;;;;;
Helfried;Müller;;;;;;;;;;
Heribert;Müwobedeweiner;;;;;;;;;;
Bärbel;Nilagrademüller;;;;;;;;;;
Kira;Nitobedestein;;;;;;;;;;
Hans-Bernd;Näsovadestein;;;;;;;;;;
Marita;Schmidt;;;;;;;;;;
Thorben;Schmitt;;;;;;;;;;
Herwig;Sidobu;;;;;;;;;;
Sahin;Sätagradehein;;;;;;;;;;
Gabi;Södusege;;;;;;;;;;
Pietro;Sülasade;;;;;;;;;;
Heinz;Täwiferestein;;;;;;;;;;
Christine;Vulalodeweiner;;;;;;;;;;
Franz-Josef;Werner;;;;;;;;;;
Timm;Wutubumüller;;;;;;;;;;
