Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Amalia;Bisuferemeiner;;;;;;;;;;
Korbinian;Bövematt;;;;;;;;;;
Vesna;Detovorestein;;;;;;;;;;
Hakan;Didifimeiner;;;;;;;;;;
Sylke;Dituflede;;;;;;;;;;
Benjamin;Dodasege;;;;;;;;;;
Jan;Fischer;;;;;;;;;;
Josephine;Fowaflodemüller;;;;;;;;;;
Carlos;Fuchs;;;;;;;;;;
Gabriel;Gasofomüller;;;;;;;;;;
Edmund;Gutesedeson;;;;;;;;;;
Hubertine;Helefaremüller;;;;;;;;;;
Grazyna;Jelifo;;;;;;;;;;
Heinz-Gerd;Kaligauweiner;;;;;;;;;;
Meinolf;Kevagrodeson;;;;;;;;;;
Ida;Krause;;;;;;;;;;
Jaroslav;Köwosegeson;;;;;;;;;;
Simone;Motuferemeiner;;;;;;;;;;
Marlies;Nütevoremeiner;;;;;;;;;;
Reza;Patuschattweiner;;;;;;;;;;
Nadin;Petibi;;;;;;;;;;
Brian;Posigrodemeiner;;;;;;;;;;
Pascal;Schröder;;;;;;;;;;
Slavica;Schulze;;;;;;;;;;
Ljudmila;Siwesademüller;;;;;;;;;;
Nick;Tevelode;;;;;;;;;;
Herta;Weber;;;;;;;;;;
