Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Hans-Herbert;Braun;;;;;;;;;;
Britt;Calafere;;;;;;;;;;
Benjamin;Devilau;;;;;;;;;;
Kunigunde;Fideplaustein;;;;;;;;;;
Josip;Fitaplauson;;;;;;;;;;
Isabell;Fiwefo;;;;;;;;;;
Eleni;Gäruwedeson;;;;;;;;;;
Marie-Therese;Kaiser;;;;;;;;;;
Barbara;Krüger;;;;;;;;;;
Marek;Krüger;;;;;;;;;;
Friedhelm;Kädefi;;;;;;;;;;
Matteo;Letuwedeson;;;;;;;;;;
Hinrich;Meyer;;;;;;;;;;
Danica;Mudegaumüller;;;;;;;;;;
Cemil;Nawegrodeson;;;;;;;;;;
Giuseppe;Pulusege;;;;;;;;;;
Waltrud;Päwelau;;;;;;;;;;
Helena;Schmid;;;;;;;;;;
Oskar;Schmidt;;;;;;;;;;
Lieselotte;Schmitz;;;;;;;;;;
Meta;Schröder;;;;;;;;;;
Bela;Sewusadeson;;;;;;;;;;
Suzanne;Sürosadeweiner;;;;;;;;;;
Hendrik;Toselode;;;;;;;;;;
Leokadia;Wagner;;;;;;;;;;
Manuela;Wudesademeiner;;;;;;;;;;
Hansgeorg;Zataschatt;;;;;;;;;;
Lia;Zeselateweiner;;;;;;;;;;
Sibylla;Zetibison;;;;;;;;;;
