Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Margarita;Bütabeson;;;;;;;;;;
Rigo;Citisadeson;;;;;;;;;;
Erdal;Cotefuhein;;;;;;;;;;
Theo;Cävilauson;;;;;;;;;;
Heinz-Otto;Dalawedemeiner;;;;;;;;;;
Siegrid;Fewedason;;;;;;;;;;
Dietrich;Geduflode;;;;;;;;;;
Timm;Golisedeson;;;;;;;;;;
Susanne;Hiligrodemüller;;;;;;;;;;
Giesela;Hutigatemüller;;;;;;;;;;
Dörthe;Kaiser;;;;;;;;;;
Wilma;Klein;;;;;;;;;;
Isabel;Koch;;;;;;;;;;
Britt;Küdafo;;;;;;;;;;
Willibert;Lehmann;;;;;;;;;;
Reinhardt;Lorugedestein;;;;;;;;;;
Friedrich;Lovahedehein;;;;;;;;;;
Violetta;Mewolodehein;;;;;;;;;;
Leon;Nasodo;;;;;;;;;;
Karl-Hermann;Rödedastein;;;;;;;;;;
Katharina;Rölubi;;;;;;;;;;
Marita;Serobi;;;;;;;;;;
Jennifer;Sivomode;;;;;;;;;;
Timo;Tivafihein;;;;;;;;;;
Hanns;Vetugedeson;;;;;;;;;;
Patric;Vüwebemeiner;;;;;;;;;;
Fadime;Weber;;;;;;;;;;
Hans-Gerd;Wovofuweiner;;;;;;;;;;
Tanja;Zadifarehein;;;;;;;;;;
